METRO CHEF,266607,"METRO Chef Яблоки Ред Делишес, ~1.5кг",/products/metro-chef-yabloki-red-delishes-15kg,109,109
METRO CHEF,266602,"METRO Chef Яблоки Гренни Смит, ~1.5кг",/products/metro-chef-yabloki-grenni-smit-15kg,109,109
METRO CHEF,266615,"METRO Chef Яблоки Ред Делишес, 700г",/products/metro-chef-yabloki-red-del-700g,129,129
METRO CHEF,266610,"METRO Chef Яблоки Гренни Смит, 700г",/products/metro-chef-yabloki-grenni-smit-700g,129,129
METRO CHEF,103493,METRO Chef Лимоны отборные,/products/limony-metro-chef,169,169
METRO CHEF,266609,"METRO Chef Яблоки Голден, 700г",/products/metro-chef-yabloki-golden-700g,129,129
METRO CHEF,117355,METRO Chef Бананы мини,/products/mini-banany-metro-chef,264,264
БЕЛАЯ ДАЧА,237489,Дольки грушевые Белая Дача 80г,/products/dolki-grushevye-belaya-dacha-80g,79,79
Без бренда,557198,Бананы весовые,/products/banany-vesovye-557198,149,149
Без бренда,585898,Апельсины весовые,/products/apelsiny-585898,219,219
Без бренда,470294,Груша Конференc,/products/grusha-konferens,287,287
Без бренда,644617,Яблоки весовые,/products/yabloki-florino-vesovye-644617,102,102
Без бренда,470290,Грейпфрут весовой,/products/grejpfrut-470290,182,182
Без бренда,543997,Апельсины для сока,/products/apelsiny-dlya-soka-543997,219,219
Без бренда,596506,Виноград Кишмиш,/products/vinograd-belyj-vesovoj-1-kg-596506,269,269
Без бренда,644621,Яблоки ред,/products/yabloki-red,149,149
Без бренда,470370,Яблоки Гала,/products/yabloki-gala-470370,133,133
Без бренда,470371,Яблоки Гренни Смит,/products/yabloki-grenni-smit-470371,155,155
Без бренда,470346,Лайм весовой,/products/lajm-knopka-29,299,589
Без бренда,644574,Манго спелое,/products/mango-speloe-644574,309,309
Без бренда,470372,Яблоки Голден,/products/yabloki-golden-470372,149,149
Без бренда,470307,Киви весовой,/products/kivi-470307,349,349
Без бренда,544006,Ананас весовой,/products/ananas,179,284
Без бренда,481770,Груша Пакхам,/products/art-481770,229,229
Без бренда,581007,Гранат весовой,/products/granat-581007,309,309
Без бренда,470286,Виноград черный без косточек,/products/vinograd-chernyj-bez-kostochek-vesovoj-1-kg-470286,249,249
Без бренда,470352,Мандарины с листом отборные,/products/mandariny-1-kg,259,289
Без бренда,575202,Дыня Колхозница,/products/dynya-kolhoznica-vesovaya-575202,71,71
Без бренда,644613,Груша Форел,/products/grusha-forel-644613,249,249
Без бренда,596505,Виноград Дамские пальчики белый,/products/vinograd-rozovyj-vesovoj-1-kg,239,239
Без бренда,398697,"Манго Ready to Eat, 280г",/products/mango-ready-to-eat-398697,199,199
Без бренда,222705,"Авокадо спелое Puro Gusto Хасс, 500г",/products/500g-avokado-hass-puro-gusto-setka,549,549
Без бренда,644609,Хурма Ромашка,/products/hurma-romashka,149,209
Без бренда,581008,Хурма весовая,/products/hurma-581008,179,229
Без бренда,470285,Виноград Ред глоб,/products/vinograd-krasnyj-vesovoj-1-kg,198,198
Без бренда,470295,Груша Китайская,/products/grusha-kitajskie,229,229
Без бренда,325361,"Киви Ready to eat 3шт, 300г",/products/art-325361,149,149
Без бренда,470291,Грейпфрут белый,/products/grejpfrut-belyj-vesovoj-1-kg,279,279
Без бренда,545122,Мандарины весовые,/products/mandariny-545122,209,209
